datetime,station_antwerp,station_paris,station_london
2019-05-16 12:00,,13.5,33
2019-05-16 13:00,,10.5,30
2019-05-16 14:00,,9.2,27
2019-05-16 15:00,,8.5,27
2019-05-16 16:00,,8.1,26
2019-05-16 17:00,,10.1,29
2019-05-16 18:00,,10.3,30
2019-05-16 19:00,,13.5,25
2019-05-16 20:00,,15.9,27
2019-05-16 21:00,,14.4,26
2019-05-16 22:00,,24.8,25
2019-05-16 23:00,,24.3,25
2019-05-17 0:00,,37.1,25
2019-05-17 1:00,,43.7,23
2019-05-17 2:00,,46.3,23
2019-05-17 3:00,,26.1,21
2019-05-17 4:00,,24.6,21
2019-05-17 5:00,,26.6,21
2019-05-17 6:00,,28.4,21
2019-05-17 7:00,,34,25
2019-05-17 8:00,,46.3,27
2019-05-17 9:00,,55,27
2019-05-17 10:00,,57.5,29
2019-05-17 11:00,,60.5,30
2019-05-17 12:00,,51.5,30
2019-05-17 13:00,,43.1,30
2019-05-17 14:00,,46.5,29
2019-05-17 15:00,,37.9,31
2019-05-17 16:00,,27,32
2019-05-17 17:00,,22.2,30
2019-05-17 18:00,,20.7,29
2019-05-17 19:00,,27.9,31
2019-05-17 20:00,,33.6,36
2019-05-17 21:00,,24.7,36
2019-05-17 22:00,,23.5,36
2019-05-17 23:00,,24.3,35
2019-05-18 0:00,,28.2,35
2019-05-18 1:00,,34.1,31
2019-05-18 2:00,,31.5,31
2019-05-18 3:00,41.5,37.4,31
2019-05-18 4:00,,29,31
2019-05-18 5:00,,16.1,29
2019-05-18 6:00,,16.6,29
2019-05-18 7:00,,20.1,27
2019-05-18 8:00,,22.1,29
2019-05-18 9:00,,27.4,35
2019-05-18 10:00,,20.4,32
2019-05-18 11:00,,21.1,35
2019-05-18 12:00,,24.1,34
2019-05-18 13:00,,17.5,38
2019-05-18 14:00,,12.9,29
2019-05-18 15:00,,10.5,27
2019-05-18 16:00,,11.8,28
2019-05-18 17:00,,13,30
2019-05-18 18:00,,14.6,42
2019-05-18 19:00,,12.8,42
2019-05-18 20:00,35.5,14.5,36
2019-05-18 21:00,35.5,67.5,35
2019-05-18 22:00,40,36.2,41
2019-05-18 23:00,39,59.3,46
2019-05-19 0:00,34.5,62.5,46
2019-05-19 1:00,29.5,50.2,49
2019-05-19 2:00,23.5,49.6,49
2019-05-19 3:00,22.5,34.9,49
2019-05-19 4:00,19,38.1,49
2019-05-19 5:00,19,36.4,49
2019-05-19 6:00,21,39.4,49
2019-05-19 7:00,26,40.9,38
2019-05-19 8:00,30.5,31.1,36
2019-05-19 9:00,30,32.4,33
2019-05-19 10:00,23.5,31.7,30
2019-05-19 11:00,16,33,27
2019-05-19 12:00,17.5,31,28
2019-05-19 13:00,17,32.6,25
2019-05-19 14:00,16,27.9,27
2019-05-19 15:00,14.5,21,31
2019-05-19 16:00,23,23.8,29
2019-05-19 17:00,33,31.7,28
2019-05-19 18:00,17.5,32.5,27
2019-05-19 19:00,18.5,33.9,29
2019-05-19 20:00,15.5,32.7,30
2019-05-19 21:00,26,51.2,32
2019-05-19 22:00,15,35.6,32
2019-05-19 23:00,12.5,23.2,32
2019-05-20 0:00,18.5,22.2,32
2019-05-20 1:00,16.5,18.8,28
2019-05-20 2:00,26,16.4,28
2019-05-20 3:00,17,12.8,32
2019-05-20 4:00,10.5,12.1,32
2019-05-20 5:00,9,12.6,26
2019-05-20 6:00,14,14.9,26
2019-05-20 7:00,20,25.2,31
2019-05-20 8:00,26,40.1,31
2019-05-20 9:00,38,46.9,29
2019-05-20 10:00,40,46.1,29
2019-05-20 11:00,30.5,45.5,28
2019-05-20 12:00,25,43.9,28
2019-05-20 13:00,25,35.4,28
2019-05-20 14:00,34.5,23.8,29
2019-05-20 15:00,32,23.7,32
2019-05-20 16:00,24.5,27.5,32
2019-05-20 17:00,25.5,26.5,29
2019-05-20 18:00,,32.4,30
2019-05-20 19:00,,24.6,33
2019-05-20 20:00,,32.2,32
2019-05-20 21:00,,21.3,32
2019-05-20 22:00,,21.6,34
2019-05-20 23:00,,20.3,47
2019-05-21 0:00,,20.7,47
2019-05-21 1:00,,19.6,35
2019-05-21 2:00,,16.9,35
2019-05-21 3:00,15.5,16.3,26
2019-05-21 4:00,,17.7,26
2019-05-21 5:00,,17.9,23
2019-05-21 6:00,,18.5,23
2019-05-21 7:00,,38,30
2019-05-21 8:00,,62.6,27
2019-05-21 9:00,,56,28
2019-05-21 10:00,,54.2,29
2019-05-21 11:00,,48.1,29
2019-05-21 12:00,,30.4,26
2019-05-21 13:00,,25.5,26
2019-05-21 14:00,,30.5,28
2019-05-21 15:00,,49.7,33
2019-05-21 16:00,,47.8,34
2019-05-21 17:00,,36.6,34
2019-05-21 18:00,,42.3,37
2019-05-21 19:00,,75,35
2019-05-21 20:00,,54.3,40
2019-05-21 21:00,,50,38
2019-05-21 22:00,,40.8,33
2019-05-21 23:00,,43,33
2019-05-22 0:00,,33.2,33
2019-05-22 1:00,,29.5,30
2019-05-22 2:00,,27.1,30
2019-05-22 3:00,20.5,27.9,27
2019-05-22 4:00,,19.2,27
2019-05-22 5:00,,25.2,21
2019-05-22 6:00,,33.7,21
2019-05-22 7:00,,45.1,28
2019-05-22 8:00,,75.7,29
2019-05-22 9:00,,75.4,31
2019-05-22 10:00,,70.8,31
2019-05-22 11:00,,63.1,31
2019-05-22 12:00,,57.8,28
2019-05-22 13:00,,42.6,25
2019-05-22 14:00,,42.2,25
2019-05-22 15:00,,38.5,28
2019-05-22 16:00,,40,30
2019-05-22 17:00,,33.2,32
2019-05-22 18:00,,34.9,34
2019-05-22 19:00,,36.1,34
2019-05-22 20:00,,34.1,33
2019-05-22 21:00,,36.2,33
2019-05-22 22:00,,44.9,31
2019-05-22 23:00,,37.7,32
2019-05-23 0:00,,29.8,32
2019-05-23 1:00,,62.1,23
2019-05-23 2:00,,53.3,23
2019-05-23 3:00,60.5,53.1,20
2019-05-23 4:00,,66.6,20
2019-05-23 5:00,,76.8,19
2019-05-23 6:00,,71.9,19
2019-05-23 7:00,,68.7,24
2019-05-23 8:00,,79.6,26
2019-05-23 9:00,,91.8,25
2019-05-23 10:00,,97,23
2019-05-23 11:00,,79.4,25
2019-05-23 12:00,,28.3,24
2019-05-23 13:00,,17,25
2019-05-23 14:00,,16.4,28
2019-05-23 15:00,,21.2,34
2019-05-23 16:00,,17.2,38
2019-05-23 17:00,,17.5,53
2019-05-23 18:00,,17.8,60
2019-05-23 19:00,,22.7,54
2019-05-23 20:00,,23.5,51
2019-05-23 21:00,,28,45
2019-05-23 22:00,,33.8,44
2019-05-23 23:00,,47,39
2019-05-24 0:00,,61.9,39
2019-05-24 1:00,,23.2,31
2019-05-24 2:00,,32.8,
2019-05-24 3:00,74.5,28.8,31
2019-05-24 4:00,,28.4,31
2019-05-24 5:00,,19.4,23
2019-05-24 6:00,,28.1,23
2019-05-24 7:00,,35.9,29
2019-05-24 8:00,,40.7,28
2019-05-24 9:00,,54.8,26
2019-05-24 10:00,,45.9,24
2019-05-24 11:00,,37.9,23
2019-05-24 12:00,,28.6,26
2019-05-24 13:00,,40.6,29
2019-05-24 14:00,,29.3,33
2019-05-24 15:00,,24.3,39
2019-05-24 16:00,,20.5,40
2019-05-24 17:00,,22.7,43
2019-05-24 18:00,,27.3,46
2019-05-24 19:00,,25.2,46
2019-05-24 20:00,,23.3,44
2019-05-24 21:00,,21.9,42
2019-05-24 22:00,,31.7,38
2019-05-24 23:00,,18.1,39
2019-05-25 0:00,,18,39
2019-05-25 1:00,,16.5,32
2019-05-25 2:00,,17.4,32
2019-05-25 3:00,29,12.8,25
2019-05-25 4:00,,20.3,25
2019-05-25 5:00,,,21
2019-05-25 6:00,,,21
2019-05-25 7:00,,,22
2019-05-25 8:00,,36.9,22
2019-05-25 9:00,,42.1,23
2019-05-25 10:00,,44.5,23
2019-05-25 11:00,,33.6,21
2019-05-25 12:00,,26.3,23
2019-05-25 13:00,,19.5,24
2019-05-25 14:00,,18.6,26
2019-05-25 15:00,,26.1,31
2019-05-25 16:00,,23.6,37
2019-05-25 17:00,,30,42
2019-05-25 18:00,,31.9,46
2019-05-25 19:00,,20.6,47
2019-05-25 20:00,,30.4,47
2019-05-25 21:00,,22.1,44
2019-05-25 22:00,,43.6,41
2019-05-25 23:00,,39.5,36
2019-05-26 0:00,,63.9,36
2019-05-26 1:00,,70.2,32
2019-05-26 2:00,,67,32
2019-05-26 3:00,53,49.8,26
2019-05-26 4:00,,23.4,26
2019-05-26 5:00,,22.9,20
2019-05-26 6:00,,22.3,20
2019-05-26 7:00,,16.8,17
2019-05-26 8:00,,15.1,17
2019-05-26 9:00,,13.4,15
2019-05-26 10:00,,11,15
2019-05-26 11:00,,10.3,16
2019-05-26 12:00,,11.3,17
2019-05-26 13:00,,13.3,21
2019-05-26 14:00,,11.5,24
2019-05-26 15:00,,12.5,25
2019-05-26 16:00,,15.3,26
2019-05-26 17:00,,11.7,27
2019-05-26 18:00,,17.1,26
2019-05-26 19:00,,17.3,28
2019-05-26 20:00,,22.8,26
2019-05-26 21:00,,17.8,25
2019-05-26 22:00,,16.6,27
2019-05-26 23:00,,16.1,26
2019-05-27 0:00,,15.2,26
2019-05-27 1:00,,10.3,26
2019-05-27 2:00,,9.5,26
2019-05-27 3:00,10.5,7.1,24
2019-05-27 4:00,,5.9,24
2019-05-27 5:00,,4.8,19
2019-05-27 6:00,,6.5,19
2019-05-27 7:00,,20.3,18
2019-05-27 8:00,,29.1,18
2019-05-27 9:00,,29.5,18
2019-05-27 10:00,,34.2,18
2019-05-27 11:00,,31.4,16
2019-05-27 12:00,,23.3,17
2019-05-27 13:00,,19.3,17
2019-05-27 14:00,,17.3,20
2019-05-27 15:00,,17.5,20
2019-05-27 16:00,,17.3,22
2019-05-27 17:00,,25.6,22
2019-05-27 18:00,,23.6,22
2019-05-27 19:00,,22.9,22
2019-05-27 20:00,,25.6,22
2019-05-27 21:00,,22.1,23
2019-05-27 22:00,,22.3,20
2019-05-27 23:00,,18.8,19
2019-05-28 0:00,,19.9,19
2019-05-28 1:00,,22.6,16
2019-05-28 2:00,,15.4,16
2019-05-28 3:00,11,8.2,16
2019-05-28 4:00,,6.4,16
2019-05-28 5:00,,6.1,15
2019-05-28 6:00,,8.9,15
2019-05-28 7:00,,19.9,19
2019-05-28 8:00,,28.8,20
2019-05-28 9:00,,33.8,20
2019-05-28 10:00,,31.2,20
2019-05-28 11:00,,24.3,21
2019-05-28 12:00,,21.6,21
2019-05-28 13:00,,20.5,28
2019-05-28 14:00,,24.8,27
2019-05-28 15:00,,18.5,29
2019-05-28 16:00,,18.8,30
2019-05-28 17:00,,25,27
2019-05-28 18:00,,26.5,25
2019-05-28 19:00,,20.8,29
2019-05-28 20:00,,16.2,29
2019-05-28 21:00,,18.5,29
2019-05-28 22:00,,20.4,31
2019-05-28 23:00,,20.4,
2019-05-29 0:00,,20.2,25
2019-05-29 1:00,,25.3,26
2019-05-29 2:00,,23.4,26
2019-05-29 3:00,21,21.6,23
2019-05-29 4:00,,19,23
2019-05-29 5:00,,20.3,21
2019-05-29 6:00,,24.1,21
2019-05-29 7:00,,36.7,24
2019-05-29 8:00,,46.5,22
2019-05-29 9:00,,50.5,21
2019-05-29 10:00,,45.7,18
2019-05-29 11:00,,34.5,18
2019-05-29 12:00,,30.7,18
2019-05-29 13:00,,22,20
2019-05-29 14:00,,13.2,13
2019-05-29 15:00,,17.8,15
2019-05-29 16:00,,0,5
2019-05-29 17:00,,0,3
2019-05-29 18:00,,20.1,5
2019-05-29 19:00,,22.9,5
2019-05-29 20:00,,25.3,5
2019-05-29 21:00,,24.1,6
2019-05-29 22:00,,20.8,6
2019-05-29 23:00,,16.9,5
2019-05-30 0:00,,19,5
2019-05-30 1:00,,19.9,1
2019-05-30 2:00,,19.4,1
2019-05-30 3:00,7.5,12.4,0
2019-05-30 4:00,,9.4,0
2019-05-30 5:00,,10.6,0
2019-05-30 6:00,,10.4,0
2019-05-30 7:00,,12.2,0
2019-05-30 8:00,,13.3,2
2019-05-30 9:00,,18.3,3
2019-05-30 10:00,,16.7,5
2019-05-30 11:00,,15.1,9
2019-05-30 12:00,,13.8,13
2019-05-30 13:00,,14.9,17
2019-05-30 14:00,,14.2,20
2019-05-30 15:00,,16.1,22
2019-05-30 16:00,,14.9,22
2019-05-30 17:00,,13,27
2019-05-30 18:00,,12.8,30
2019-05-30 19:00,,20.4,28
2019-05-30 20:00,,22.1,28
2019-05-30 21:00,,22.9,27
2019-05-30 22:00,,21.9,27
2019-05-30 23:00,,26.9,23
2019-05-31 0:00,,27,23
2019-05-31 1:00,,29.6,18
2019-05-31 2:00,,27.2,18
2019-05-31 3:00,9,36.9,12
2019-05-31 4:00,,44.1,12
2019-05-31 5:00,,40.1,9
2019-05-31 6:00,,31.1,9
2019-05-31 7:00,,37.2,8
2019-05-31 8:00,,38.6,9
2019-05-31 9:00,,47.4,8
2019-05-31 10:00,,36.6,37
2019-05-31 11:00,,19.6,15
2019-05-31 12:00,,17.2,16
2019-05-31 13:00,,15.1,18
2019-05-31 14:00,,13.3,21
2019-05-31 15:00,,13.8,21
2019-05-31 16:00,,15.4,24
2019-05-31 17:00,,15.4,26
2019-05-31 18:00,,16.3,26
2019-05-31 19:00,,20.5,29
2019-05-31 20:00,,25.2,33
2019-05-31 21:00,,23.3,33
2019-05-31 22:00,,37,31
2019-05-31 23:00,,60.2,26
2019-06-01 0:00,,68,26
2019-06-01 1:00,,81.7,22
2019-06-01 2:00,,84.7,22
2019-06-01 3:00,52.5,74.8,16
2019-06-01 4:00,,68.1,16
2019-06-01 5:00,,,11
2019-06-01 6:00,,,11
2019-06-01 7:00,,,4
2019-06-01 8:00,,44.6,2
2019-06-01 9:00,,46.4,8
2019-06-01 10:00,,33.3,9
2019-06-01 11:00,,23.9,12
2019-06-01 12:00,,13.8,19
2019-06-01 13:00,,12.2,28
2019-06-01 14:00,,10.4,33
2019-06-01 15:00,,10.2,36
2019-06-01 16:00,,10,33
2019-06-01 17:00,,10.2,31
2019-06-01 18:00,,11.8,32
2019-06-01 19:00,,11.8,36
2019-06-01 20:00,,14.5,38
2019-06-01 21:00,,24.6,41
2019-06-01 22:00,,43.6,44
2019-06-01 23:00,,49.4,52
2019-06-02 0:00,,48.1,52
2019-06-02 1:00,,32.7,44
2019-06-02 2:00,,38.1,44
2019-06-02 3:00,,38.2,43
2019-06-02 4:00,,39.2,43
2019-06-02 5:00,,23.2,37
2019-06-02 6:00,,24.5,37
2019-06-02 7:00,,37.2,32
2019-06-02 8:00,,24.1,32
2019-06-02 9:00,,18.1,30
2019-06-02 10:00,,19.5,32
2019-06-02 11:00,,21,35
2019-06-02 12:00,,18.1,36
2019-06-02 13:00,,13.1,35
2019-06-02 14:00,,11.5,34
2019-06-02 15:00,,13,36
2019-06-02 16:00,,15,33
2019-06-02 17:00,,13.9,32
2019-06-02 18:00,,14.4,32
2019-06-02 19:00,,14.4,34
2019-06-02 20:00,,15.6,34
2019-06-02 21:00,,25.8,32
2019-06-02 22:00,,40.9,28
2019-06-02 23:00,,36.9,27
2019-06-03 0:00,,27.6,27
2019-06-03 1:00,,17.9,21
2019-06-03 2:00,,15.7,21
2019-06-03 3:00,,11.8,11
2019-06-03 4:00,,11.7,11
2019-06-03 5:00,,9.8,3
2019-06-03 6:00,,11.4,3
2019-06-03 7:00,,29,5
2019-06-03 8:00,,44.1,6
2019-06-03 9:00,,50,7
2019-06-03 10:00,,43.9,5
2019-06-03 11:00,,46,11
2019-06-03 12:00,,31.7,16
2019-06-03 13:00,,27.5,14
2019-06-03 14:00,,22.1,15
2019-06-03 15:00,,25.8,17
2019-06-03 16:00,,23.2,21
2019-06-03 17:00,,24.8,22
2019-06-03 18:00,,25.3,24
2019-06-03 19:00,,24.4,24
2019-06-03 20:00,,23.1,23
2019-06-03 21:00,,28.9,20
2019-06-03 22:00,,33,20
2019-06-03 23:00,,31.1,17
2019-06-04 0:00,,30.5,17
2019-06-04 1:00,,44.6,12
2019-06-04 2:00,,52.4,12
2019-06-04 3:00,,43.9,8
2019-06-04 4:00,,35,8
2019-06-04 5:00,,41.6,5
2019-06-04 6:00,,28.8,5
2019-06-04 7:00,,36.5,14
2019-06-04 8:00,,47.7,18
2019-06-04 9:00,,53.5,22
2019-06-04 10:00,,50.8,35
2019-06-04 11:00,,38.5,31
2019-06-04 12:00,,23.3,32
2019-06-04 13:00,,19.6,35
2019-06-04 14:00,,17.7,37
2019-06-04 15:00,,17.4,36
2019-06-04 16:00,,18.1,38
2019-06-04 17:00,,21.5,38
2019-06-04 18:00,,26.3,40
2019-06-04 19:00,,23.4,29
2019-06-04 20:00,,25.2,20
2019-06-04 21:00,,17,18
2019-06-04 22:00,,16.9,17
2019-06-04 23:00,,26.3,17
2019-06-05 0:00,,33.5,17
2019-06-05 1:00,,17.8,13
2019-06-05 2:00,,15.7,13
2019-06-05 3:00,15,10.8,4
2019-06-05 4:00,,12.4,4
2019-06-05 5:00,,16.2,6
2019-06-05 6:00,,24.5,6
2019-06-05 7:00,,39.2,2
2019-06-05 8:00,,35.8,1
2019-06-05 9:00,,36.9,0
2019-06-05 10:00,,35.3,0
2019-06-05 11:00,,36.8,5
2019-06-05 12:00,,42.1,7
2019-06-05 13:00,,59,9
2019-06-05 14:00,,47.2,14
2019-06-05 15:00,,33.6,20
2019-06-05 16:00,,38.3,20
2019-06-05 17:00,,53.5,19
2019-06-05 18:00,,37.9,19
2019-06-05 19:00,,48.8,19
2019-06-05 20:00,,40.8,19
2019-06-05 21:00,,37.8,19
2019-06-05 22:00,,37.5,19
2019-06-05 23:00,,33.7,17
2019-06-06 0:00,,30.3,17
2019-06-06 1:00,,31.8,8
2019-06-06 2:00,,23.8,
2019-06-06 3:00,,18,4
2019-06-06 4:00,,15.2,4
2019-06-06 5:00,,19.2,0
2019-06-06 6:00,,28.4,0
2019-06-06 7:00,,40.3,1
2019-06-06 8:00,,40.5,3
2019-06-06 9:00,,43.1,0
2019-06-06 10:00,,36,1
2019-06-06 11:00,,26,7
2019-06-06 12:00,,21.2,7
2019-06-06 13:00,,16.4,12
2019-06-06 14:00,,16.5,10
2019-06-06 15:00,,16,11
2019-06-06 16:00,,15.1,16
2019-06-06 17:00,,,22
2019-06-06 18:00,,,24
2019-06-06 19:00,,,24
2019-06-06 20:00,,,24
2019-06-06 21:00,,,22
2019-06-06 22:00,,,24
2019-06-06 23:00,,,21
2019-06-07 0:00,,,21
2019-06-07 1:00,,,23
2019-06-07 2:00,,,23
2019-06-07 3:00,,,27
2019-06-07 4:00,,,27
2019-06-07 5:00,,,23
2019-06-07 6:00,,,23
2019-06-07 7:00,,,25
2019-06-07 8:00,,28.9,23
2019-06-07 9:00,,23,24
2019-06-07 10:00,,29.3,25
2019-06-07 11:00,,34.5,23
2019-06-07 12:00,,32.1,25
2019-06-07 13:00,,26.7,27
2019-06-07 14:00,,17.8,20
2019-06-07 15:00,,15,15
2019-06-07 16:00,,13.1,15
2019-06-07 17:00,,15.6,21
2019-06-07 18:00,,19.5,24
2019-06-07 19:00,,19.5,27
2019-06-07 20:00,,19.1,35
2019-06-07 21:00,,19.9,36
2019-06-07 22:00,,19.4,35
2019-06-07 23:00,,16.3,
2019-06-08 0:00,,14.7,33
2019-06-08 1:00,,14.4,28
2019-06-08 2:00,,11.3,
2019-06-08 3:00,,9.6,7
2019-06-08 4:00,,8.4,7
2019-06-08 5:00,,9.8,3
2019-06-08 6:00,,10.7,3
2019-06-08 7:00,,14.1,2
2019-06-08 8:00,,13.8,3
2019-06-08 9:00,,14,4
2019-06-08 10:00,,13,2
2019-06-08 11:00,,11.7,3
2019-06-08 12:00,,10.3,4
2019-06-08 13:00,,10.4,8
2019-06-08 14:00,,9.2,10
